2026-04-14 19:30:26.544 -03 [6728] LOG:  iniciando PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35219, 64-bit
2026-04-14 19:30:26.552 -03 [6728] LOG:  n„o foi possÌvel vincular o endereÁo IPv6 "::1": Only one usage of each socket address (protocol/network address/port) is normally permitted.
	
2026-04-14 19:30:26.552 -03 [6728] DICA:  Outro postmaster j· est· executando na porta 5433? Se n„o, espere alguns segundos e tente novamente.
2026-04-14 19:30:26.552 -03 [6728] LOG:  n„o foi possÌvel vincular o endereÁo IPv4 "127.0.0.1": Only one usage of each socket address (protocol/network address/port) is normally permitted.
	
2026-04-14 19:30:26.552 -03 [6728] DICA:  Outro postmaster j· est· executando na porta 5433? Se n„o, espere alguns segundos e tente novamente.
2026-04-14 19:30:26.552 -03 [6728] AVISO:  n„o foi possÌvel criar soquete de escuta para "localhost"
2026-04-14 19:30:26.552 -03 [6728] FATAL:  n„o foi possÌvel criar nenhum soquete TCP/IP
2026-04-14 19:30:26.555 -03 [6728] LOG:  sistema de banco de dados est· desligado
2026-04-14 19:30:39.429 -03 [26408] LOG:  iniciando PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35219, 64-bit
2026-04-14 19:30:39.430 -03 [26408] LOG:  escutando no endereÁo IPv4 "127.0.0.1", porta 55432
2026-04-14 19:30:39.536 -03 [11972] LOG:  sistema de banco de dados foi desligado em 2026-04-14 19:30:22 -03
2026-04-14 19:30:39.577 -03 [26408] LOG:  sistema de banco de dados est· pronto para aceitar conexıes
2026-04-14 19:30:57.436 -03 [19016] ERRO:  erro de sintaxe em ou pr√≥ximo a "BEGIN" no caractere 5
2026-04-14 19:30:57.436 -03 [19016] COMANDO:  DO  BEGIN IF NOT EXISTS (SELECT 1 FROM pg_roles WHERE rolname = 'aiaservice') THEN CREATE ROLE aiaservice LOGIN PASSWORD 'aiaservice_local'; ELSE ALTER ROLE aiaservice WITH LOGIN PASSWORD 'aiaservice_local'; END IF; END ;
2026-04-14 19:31:16.849 -03 [26564] ERRO:  erro de sintaxe em ou pr√≥ximo a "aiaservice" no caractere 73
2026-04-14 19:31:16.849 -03 [26564] COMANDO:  DO $$
	BEGIN
	    IF NOT EXISTS (SELECT 1 FROM pg_roles WHERE rolname = ''aiaservice'') THEN
	        CREATE ROLE aiaservice LOGIN PASSWORD ''aiaservice_local'';
	    ELSE
	        ALTER ROLE aiaservice WITH LOGIN PASSWORD ''aiaservice_local'';
	    END IF;
	END
	$$;
2026-04-14 19:31:49.584 -03 [19168] ERRO:  rela√ß√£o "cache" n√£o existe no caractere 13
2026-04-14 19:31:49.584 -03 [19168] COMANDO:  delete from "cache"
2026-04-14 19:31:51.089 -03 [23600] ERRO:  rela√ß√£o "ticket_fields" n√£o existe
2026-04-14 19:31:51.089 -03 [23600] COMANDO:  alter table "ticket_field_options" add constraint "ticket_field_options_ticket_field_id_foreign" foreign key ("ticket_field_id") references "ticket_fields" ("id") on delete cascade
2026-04-14 19:31:51.094 -03 [23600] ERRO:  transa√ß√£o atual foi interrompida, comandos ignorados at√© o fim do bloco de transa√ß√£o
2026-04-14 19:31:51.094 -03 [23600] COMANDO:  DEALLOCATE pdo_stmt_0000003b
2026-04-14 19:35:39.551 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 19:38:00.814 -03 [11520] LOG:  checkpoint complete: wrote 1201 buffers (7.3%), wrote 3 SLRU buffers; 1 WAL file(s) added, 0 removed, 0 recycled; write=140.912 s, sync=0.234 s, total=141.265 s; sync files=599, longest=0.003 s, average=0.001 s; distance=6982 kB, estimate=6982 kB; lsn=0/1EC2EE0, redo lsn=0/1EC2E50
2026-04-14 19:40:39.829 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 19:40:40.606 -03 [11520] LOG:  checkpoint complete: wrote 7 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.764 s, sync=0.005 s, total=0.777 s; sync files=5, longest=0.002 s, average=0.001 s; distance=1 kB, estimate=6284 kB; lsn=0/1EC3618, redo lsn=0/1EC35C0
2026-04-14 19:55:39.626 -03 [11520] LOG:  checkpoint starting: time
